S&P 500 Momentum Tracker - High History
Generated: 2026-01-31 08:58:40 UTC
==========================================================================================

Stocks ranked by number of times hitting 52-Week High or All-Time High
Higher hits = stronger momentum

Total unique stocks tracked: 120
🚀 High momentum (3+ hits): 69
📈 Building momentum (2 hits): 12
✨ New breakouts (1 hit): 39

|   # | Ticker   | Name                           |   Hits | Last Hit   | 2nd Last   | 3rd Last   |
|  55 | GS       | Goldman Sachs Group, Inc. (The |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  56 | DD       | DuPont de Nemours, Inc.        |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  57 | CHRW     | C.H. Robinson Worldwide, Inc.  |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  58 | ULTA     | Ulta Beauty, Inc.              |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  59 | MRK      | Merck & Company, Inc.          |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  60 | AIG      | American International Group,  |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  61 | C        | Citigroup, Inc.                |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  62 | FCX      | Freeport-McMoRan, Inc.         |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  63 | CRL      | Charles River Laboratories Int |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  64 | TXT      | Textron Inc.                   |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  65 | KEY      | KeyCorp                        |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  66 | REGN     | Regeneron Pharmaceuticals, Inc |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  67 | SNA      | Snap-On Incorporated           |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  68 | EW       | Edwards Lifesciences Corporati |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  69 | HST      | Host Hotels & Resorts, Inc.    |      3 | 2025-12-26 | 2025-12-24 | 2025-12-23 |
|  70 | GILD     | Gilead Sciences, Inc.          |      2 | 2025-12-24 | 2025-12-22 |            |
|  71 | L        | Loews Corporation              |      2 | 2025-12-24 | 2025-12-23 |            |
|  72 | EXPE     | Expedia Group, Inc.            |      2 | 2025-12-26 | 2025-12-23 |            |
|  73 | HII      | Huntington Ingalls Industries, |      2 | 2025-12-24 | 2025-12-23 |            |
|  74 | CINF     | Cincinnati Financial Corporati |      2 | 2025-12-24 | 2025-12-23 |            |
|  75 | MU       | Micron Technology, Inc.        |      2 | 2025-12-24 | 2025-12-23 |            |
|  76 | VTRS     | Viatris Inc.                   |      2 | 2025-12-26 | 2025-12-23 |            |
|  77 | UAL      | United Airlines Holdings, Inc. |      2 | 2025-12-26 | 2025-12-24 |            |
|  78 | JCI      | Johnson Controls International |      2 | 2025-12-26 | 2025-12-24 |            |
|  79 | PLD      | Prologis, Inc.                 |      2 | 2025-12-26 | 2025-12-24 |            |
|  80 | ALB      | Albemarle Corporation          |      2 | 2025-12-26 | 2025-12-24 |            |
|  81 | NUE      | Nucor Corporation              |      2 | 2025-12-26 | 2025-12-24 |            |
|  82 | KO       | Coca-Cola Company (The)        |      1 | 2025-12-22 |            |            |
|  83 | CVX      | Chevron Corporation            |      1 | 2025-12-22 |            |            |
|  84 | KMI      | Kinder Morgan, Inc.            |      1 | 2025-12-22 |            |            |
|  85 | NDSN     | Nordson Corporation            |      1 | 2025-12-22 |            |            |
|  86 | PFG      | Principal Financial Group Inc  |      1 | 2025-12-22 |            |            |
|  87 | CAH      | Cardinal Health, Inc.          |      1 | 2025-12-22 |            |            |
|  88 | HON      | Honeywell International Inc.   |      1 | 2025-12-22 |            |            |
|  89 | CME      | CME Group Inc.                 |      1 | 2025-12-22 |            |            |
|  90 | GOOG     | Alphabet Inc.                  |      1 | 2025-12-22 |            |            |
