S&P 500 High Tracker Snapshot
Data Date: 2025-12-26
Generated: 2026-01-31 08:58:40 UTC
Total stocks: 503
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |
| INCY     | Incyte Corporation              |  100.11 |            19.65 |     109.28 |             -8.39 |          153.15 |       -34.63 | False         | False    |
| WMB      | Williams Companies, Inc. (The)  |   59.52 |            82.14 |      65.01 |             -8.45 |           65.01 |        -8.45 | False         | False    |
| EG       | Everest Group, Ltd.             |  337.53 |            13.91 |     368.99 |             -8.53 |          404.12 |       -16.48 | False         | False    |
| ADSK     | Autodesk, Inc.                  |  300.71 |            53.86 |     329.09 |             -8.62 |          344.39 |       -12.68 | False         | False    |
| PWR      | Quanta Services, Inc.           |  432.56 |            70.77 |     473.87 |             -8.72 |          473.87 |        -8.72 | False         | False    |
| SOLV     | Solventum Corporation           |   80.46 |            13.35 |      88.20 |             -8.78 |           96.05 |       -16.23 | False         | False    |
| MGM      | MGM Resorts International       |   37.68 |             9.17 |      41.32 |             -8.81 |           94.92 |       -60.30 | False         | False    |
| WAT      | Waters Corporation              |  386.06 |            22.08 |     423.56 |             -8.85 |          428.22 |        -9.85 | False         | False    |
| EMR      | Emerson Electric Company        |  135.71 |            82.64 |     149.03 |             -8.94 |          149.03 |        -8.94 | False         | False    |
| DOV      | Dover Corporation               |  200.15 |            27.64 |     219.84 |             -8.96 |          219.84 |        -8.96 | False         | False    |
| PLTR     | Palantir Technologies Inc.      |  188.71 |           349.39 |     207.52 |             -9.06 |          207.52 |        -9.06 | False         | False    |
| DUK      | Duke Energy Corporation (Holdin |  117.18 |            94.37 |     128.91 |             -9.10 |          128.91 |        -9.10 | False         | False    |
| WRB      | W.R. Berkley Corporation        |   70.57 |            26.06 |      77.72 |             -9.20 |           77.72 |        -9.20 | False         | False    |
| TROW     | T. Rowe Price Group, Inc.       |  104.75 |            23.22 |     115.38 |             -9.22 |          185.32 |       -43.48 | False         | False    |
| MDT      | Medtronic plc.                  |   96.52 |           132.06 |     106.33 |             -9.23 |          119.06 |       -18.93 | False         | False    |
| GEV      | GE Vernova Inc.                 |  662.97 |           197.08 |     730.46 |             -9.24 |          730.46 |        -9.24 | False         | False    |
| GWW      | W.W. Grainger, Inc.             | 1024.28 |            51.66 |    1129.04 |             -9.28 |         1216.77 |       -15.82 | False         | False    |
| EXC      | Exelon Corporation              |   43.56 |            45.23 |      48.09 |             -9.42 |           48.09 |        -9.42 | False         | False    |
| DTE      | DTE Energy Company              |  129.05 |            27.91 |     142.50 |             -9.44 |          142.50 |        -9.44 | False         | False    |
| LDOS     | Leidos Holdings, Inc.           |  185.86 |            24.16 |     205.30 |             -9.47 |          205.30 |        -9.47 | False         | False    |
| NOC      | Northrop Grumman Corporation    |  577.37 |            98.25 |     638.31 |             -9.55 |          638.31 |        -9.55 | False         | False    |
| ES       | Eversource Energy (D/B/A)       |   67.24 |            25.94 |      74.42 |             -9.64 |           81.42 |       -17.41 | False         | False    |
| CVNA     | Carvana Co.                     |  438.47 |            86.96 |     485.33 |             -9.66 |          485.33 |        -9.66 | False         | False    |
| COR      | Cencora, Inc.                   |  341.05 |            69.88 |     377.54 |             -9.67 |          377.54 |        -9.67 | False         | False    |
| IBKR     | Interactive Brokers Group, Inc. |   66.16 |           127.29 |      73.26 |             -9.69 |           73.26 |        -9.69 | False         | False    |
| XYL      | Xylem Inc.                      |  138.80 |            33.57 |     153.83 |             -9.77 |          153.83 |        -9.77 | False         | False    |
| KMI      | Kinder Morgan, Inc.             |   27.19 |            67.83 |      30.15 |             -9.82 |           30.15 |        -9.82 | False         | False    |
| BG       | Bunge Limited                   |   89.08 |            22.02 |      98.82 |             -9.86 |          115.54 |       -22.90 | False         | False    |
| WEC      | WEC Energy Group, Inc.          |  105.50 |            36.00 |     117.25 |            -10.02 |          117.25 |       -10.02 | False         | False    |
| AMZN     | Amazon.com, Inc.                |  232.52 |          2558.17 |     258.60 |            -10.09 |          258.60 |       -10.09 | False         | False    |
| WELL     | Welltower Inc.                  |  187.86 |           129.28 |     209.05 |            -10.14 |          209.05 |       -10.14 | False         | False    |
| ADM      | Archer-Daniels-Midland Company  |   57.91 |            32.35 |      64.46 |            -10.16 |           89.08 |       -34.99 | False         | False    |
| NVDA     | NVIDIA Corporation              |  190.53 |          4653.44 |     212.18 |            -10.20 |          212.18 |       -10.20 | False         | False    |
| KIM      | Kimco Realty Corporation (HC)   |   20.36 |            14.28 |      22.68 |            -10.22 |           24.38 |       -16.50 | False         | False    |
| VZ       | Verizon Communications Inc.     |   39.79 |           187.74 |      44.33 |            -10.23 |           45.13 |       -11.83 | False         | False    |
| DHR      | Danaher Corporation             |  230.32 |           154.73 |     256.62 |            -10.25 |          290.14 |       -20.62 | False         | False    |
| CPT      | Camden Property Trust           |  109.26 |            11.65 |     121.85 |            -10.34 |          156.27 |       -30.08 | False         | False    |
| XEL      | Xcel Energy Inc.                |   73.85 |            44.99 |      82.37 |            -10.35 |           82.37 |       -10.35 | False         | False    |
| BLK      | BlackRock, Inc.                 | 1088.11 |           173.60 |    1214.03 |            -10.37 |         1214.03 |       -10.37 | False         | False    |
| ABT      | Abbott Laboratories             |  124.21 |           190.23 |     138.63 |            -10.40 |          138.63 |       -10.40 | False         | False    |
| BMY      | Bristol-Myers Squibb Company    |   54.00 |           112.07 |      60.28 |            -10.42 |           70.48 |       -23.37 | False         | False    |
| PEG      | Public Service Enterprise Group |   80.39 |            41.11 |      89.82 |            -10.50 |           91.62 |       -12.25 | False         | False    |
| IDXX     | IDEXX Laboratories, Inc.        |  688.48 |            53.64 |     769.98 |            -10.58 |          769.98 |       -10.58 | False         | False    |
| LOW      | Lowe's Companies, Inc.          |  243.40 |           149.81 |     272.41 |            -10.65 |          278.93 |       -12.74 | False         | False    |
| NRG      | NRG Energy, Inc.                |  160.88 |            29.52 |     180.08 |            -10.66 |          180.08 |       -10.66 | False         | False    |
| SYY      | Sysco Corporation               |   73.69 |            40.16 |      82.52 |            -10.71 |           82.75 |       -10.95 | False         | False    |
| BA       | Boeing Company (The)            |  216.44 |           183.02 |     242.69 |            -10.82 |          435.56 |       -50.31 | False         | False    |
| FTV      | Fortive Corporation             |   55.69 |            17.87 |      62.51 |            -10.91 |           65.14 |       -14.50 | False         | False    |
| VRTX     | Vertex Pharmaceuticals Incorpor |  462.90 |           120.48 |     519.68 |            -10.93 |          519.88 |       -10.96 | False         | False    |
| DGX      | Quest Diagnostics Incorporated  |  175.14 |            20.91 |     196.65 |            -10.94 |          196.65 |       -10.94 | False         | False    |
| ALLE     | Allegion plc                    |  160.79 |            14.23 |     180.68 |            -11.01 |          180.68 |       -11.01 | False         | False    |
| VLO      | Valero Energy Corporation       |  164.01 |            56.36 |     184.46 |            -11.08 |          184.46 |       -11.08 | False         | False    |
| NXPI     | NXP Semiconductors N.V.         |  222.87 |            57.01 |     250.74 |            -11.11 |          288.03 |       -22.62 | False         | False    |
| CTRA     | Coterra Energy Inc.             |   25.79 |            22.02 |      29.04 |            -11.20 |           31.16 |       -17.23 | False         | False    |
| GPC      | Genuine Parts Company           |  125.90 |            19.33 |     141.97 |            -11.32 |          172.26 |       -26.91 | False         | False    |
| ED       | Consolidated Edison, Inc.       |   99.30 |            38.49 |     112.03 |            -11.37 |          112.03 |       -11.36 | False         | False    |
| AOS      | A.O. Smith Corporation          |   67.43 |            10.30 |      76.15 |            -11.45 |           89.40 |       -24.58 | False         | False    |
| PM       | Philip Morris International Inc |  161.05 |           279.32 |     181.91 |            -11.47 |          181.91 |       -11.47 | False         | False    |
| BKR      | Baker Hughes Company            |   45.25 |            55.30 |      51.12 |            -11.48 |           51.12 |       -11.48 | False         | False    |
| COP      | ConocoPhillips                  |   91.54 |           130.18 |     103.48 |            -11.54 |          128.01 |       -28.49 | False         | False    |
| DE       | Deere & Company                 |  467.31 |           143.13 |     528.42 |            -11.56 |          528.42 |       -11.56 | False         | False    |
| GEHC     | GE HealthCare Technologies Inc. |   83.58 |            36.05 |      94.63 |            -11.68 |           94.63 |       -11.68 | False         | False    |
| PKG      | Packaging Corporation of Americ |  208.91 |            20.02 |     236.70 |            -11.74 |          243.29 |       -14.13 | False         | False    |
| BXP      | BXP, Inc.                       |   68.64 |            11.45 |      77.80 |            -11.77 |          109.70 |       -37.43 | False         | False    |
| PSX      | Phillips 66                     |  127.75 |            58.02 |     144.96 |            -11.87 |          163.64 |       -21.93 | False         | False    |
| MSFT     | Microsoft Corporation           |  487.71 |          3195.17 |     553.50 |            -11.89 |          553.50 |       -11.89 | False         | False    |
| BALL     | Ball Corporation                |   52.66 |            15.48 |      59.82 |            -11.97 |           96.39 |       -45.37 | False         | False    |
| LIN      | Linde plc                       |  424.77 |           214.28 |     483.05 |            -12.07 |          483.05 |       -12.07 | False         | False    |
| SNDK     | Sandisk Corporation             |  250.05 |            85.29 |     284.76 |            -12.19 |          284.76 |       -12.19 | False         | False    |
| BSX      | Boston Scientific Corporation   |   96.06 |           138.71 |     109.50 |            -12.27 |          109.50 |       -12.27 | False         | False    |
| SYK      | Stryker Corporation             |  353.34 |           141.33 |     402.95 |            -12.31 |          402.95 |       -12.31 | False         | False    |
| NTAP     | NetApp, Inc.                    |  109.97 |            19.23 |     125.50 |            -12.37 |          132.11 |       -16.76 | False         | False    |
| HON      | Honeywell International Inc.    |  197.37 |           153.32 |     225.29 |            -12.39 |          225.29 |       -12.39 | False         | False    |
| CTVA     | Corteva, Inc.                   |   67.44 |            49.44 |      77.02 |            -12.43 |           77.02 |       -12.43 | False         | False    |
| CEG      | Constellation Energy Corporatio |  360.46 |           101.69 |     412.23 |            -12.56 |          412.23 |       -12.56 | False         | False    |
| AMP      | Ameriprise Financial, Inc.      |  501.83 |            48.98 |     574.69 |            -12.68 |          574.69 |       -12.68 | False         | False    |
| SLB      | SLB Limited                     |   37.79 |            72.34 |      43.29 |            -12.70 |           86.48 |       -56.30 | False         | False    |
| APA      | APA Corporation                 |   23.95 |             9.45 |      27.46 |            -12.77 |          107.76 |       -77.77 | False         | False    |
| SO       | Southern Company (The)          |   87.17 |            98.34 |     100.02 |            -12.84 |          100.02 |       -12.84 | False         | False    |
| GEN      | Gen Digital Inc.                |   27.77 |            14.80 |      31.94 |            -13.06 |           31.94 |       -13.06 | False         | False    |
| MO       | Altria Group, Inc.              |   57.60 |           104.06 |      66.30 |            -13.12 |           66.30 |       -13.12 | False         | False    |
| ICE      | Intercontinental Exchange Inc.  |  163.52 |            99.48 |     188.26 |            -13.14 |          188.26 |       -13.14 | False         | False    |
| TDY      | Teledyne Technologies Incorpora |  517.35 |            29.12 |     595.99 |            -13.19 |          595.99 |       -13.19 | False         | False    |
| WSM      | Williams-Sonoma, Inc.           |  188.00 |            24.43 |     216.63 |            -13.22 |          216.63 |       -13.22 | False         | False    |
| AON      | Aon plc                         |  356.65 |            75.15 |     411.24 |            -13.27 |          411.24 |       -13.27 | False         | False    |
| LH       | Labcorp Holdings Inc.           |  253.89 |            22.56 |     292.94 |            -13.33 |          292.94 |       -13.33 | False         | False    |
| EQT      | EQT Corporation                 |   53.93 |            36.03 |      62.23 |            -13.34 |           62.23 |       -13.34 | False         | False    |
| APTV     | Aptiv PLC                       |   76.91 |            16.50 |      88.80 |            -13.39 |          180.81 |       -57.46 | False         | False    |
| SWK      | Stanley Black & Decker, Inc.    |   75.38 |            12.18 |      87.08 |            -13.43 |          191.51 |       -60.64 | False         | False    |
| ARES     | Ares Management Corporation     |  168.73 |            49.04 |     195.10 |            -13.51 |          195.10 |       -13.51 | False         | False    |
| EXE      | Expand Energy Corporation       |  109.49 |            26.77 |     126.62 |            -13.53 |          126.62 |       -13.53 | False         | False    |
| A        | Agilent Technologies, Inc.      |  138.14 |            37.95 |     159.98 |            -13.65 |          174.04 |       -20.62 | False         | False    |
| DPZ      | Domino's Pizza Inc              |  425.56 |            13.93 |     493.24 |            -13.72 |          537.18 |       -20.78 | False         | False    |
| TDG      | Transdigm Group Incorporated    | 1309.24 |            80.59 |    1519.36 |            -13.83 |         1519.36 |       -13.83 | False         | False    |
| APO      | Apollo Global Management, Inc.  |  148.52 |            78.09 |     172.65 |            -13.98 |          186.86 |       -20.52 | False         | False    |
| SHW      | Sherwin-Williams Company (The)  |  325.44 |            88.42 |     378.76 |            -14.08 |          396.88 |       -18.00 | False         | False    |
| PPG      | PPG Industries, Inc.            |  104.32 |            26.10 |     121.53 |            -14.16 |          166.98 |       -37.52 | False         | False    |
| EQR      | Equity Residential              |   62.40 |            24.53 |      72.77 |            -14.26 |           80.96 |       -22.93 | False         | False    |
| NVR      | NVR, Inc.                       | 7382.16 |            20.87 |    8618.28 |            -14.34 |         9964.77 |       -25.92 | False         | False    |
| TRGP     | Targa Resources, Inc.           |  181.99 |            43.25 |     212.71 |            -14.44 |          212.71 |       -14.44 | False         | False    |
| AWK      | American Water Works Company, I |  130.55 |            25.20 |     152.71 |            -14.51 |          174.41 |       -25.15 | False         | False    |
| MCHP     | Microchip Technology Incorporat |   64.94 |            41.03 |      75.98 |            -14.53 |           96.30 |       -32.56 | False         | False    |
| KR       | Kroger Company (The)            |   63.25 |            41.65 |      74.13 |            -14.67 |           74.13 |       -14.67 | False         | False    |
| QCOM     | QUALCOMM Incorporated           |  174.81 |           162.35 |     204.90 |            -14.69 |          223.25 |       -21.70 | False         | False    |
| AKAM     | Akamai Technologies, Inc.       |   88.42 |            13.98 |     103.75 |            -14.78 |          345.50 |       -74.41 | False         | False    |
| VICI     | VICI Properties Inc.            |   28.13 |            30.01 |      33.01 |            -14.78 |           33.01 |       -14.78 | False         | False    |
| ESS      | Essex Property Trust, Inc.      |  259.59 |            17.40 |     304.79 |            -14.83 |          315.02 |       -17.60 | False         | False    |
| DLR      | Digital Realty Trust, Inc.      |  155.01 |            58.03 |     182.13 |            -14.89 |          190.83 |       -18.77 | False         | False    |
| AVGO     | Broadcom Inc.                   |  352.13 |          1570.78 |     413.82 |            -14.91 |          413.82 |       -14.91 | False         | False    |
| IR       | Ingersoll Rand Inc.             |   81.28 |            34.22 |      95.76 |            -15.12 |          105.92 |       -23.27 | False         | False    |
| CRWD     | CrowdStrike Holdings, Inc.      |  481.19 |           111.28 |     566.90 |            -15.12 |          566.90 |       -15.12 | False         | False    |
| ORLY     | O'Reilly Automotive, Inc.       |   92.25 |            83.26 |     108.72 |            -15.15 |          108.72 |       -15.15 | False         | False    |
| CDNS     | Cadence Design Systems, Inc.    |  318.89 |            80.76 |     376.45 |            -15.29 |          376.45 |       -15.29 | False         | False    |
| BR       | Broadridge Financial Solutions, |  228.19 |            23.01 |     269.71 |            -15.39 |          269.71 |       -15.39 | False         | False    |
| EBAY     | eBay Inc.                       |   85.21 |            41.69 |     100.76 |            -15.44 |          100.76 |       -15.44 | False         | False    |
| SJM      | The J.M. Smucker Company        |   99.67 |            11.19 |     117.94 |            -15.49 |          146.54 |       -31.99 | False         | False    |
| PANW     | Palo Alto Networks, Inc.        |  188.45 |           123.35 |     223.61 |            -15.72 |          223.61 |       -15.72 | False         | False    |
| MPWR     | Monolithic Power Systems, Inc.  |  944.72 |            53.85 |    1121.48 |            -15.76 |         1121.48 |       -15.76 | False         | False    |
| NWS      | News Corporation                |   29.87 |            17.28 |      35.47 |            -15.79 |           35.47 |       -15.79 | False         | False    |
| PSA      | Public Storage                  |  260.66 |            48.46 |     309.54 |            -15.79 |          351.71 |       -25.89 | False         | False    |
| PHM      | PulteGroup, Inc.                |  119.20 |            24.68 |     141.59 |            -15.81 |          148.01 |       -19.46 | False         | False    |
| EXR      | Extra Space Storage Inc         |  130.79 |            30.57 |     155.55 |            -15.92 |          194.10 |       -32.62 | False         | False    |
| DRI      | Darden Restaurants, Inc.        |  186.97 |            23.19 |     223.20 |            -16.23 |          223.20 |       -16.23 | False         | False    |
| CTAS     | Cintas Corporation              |  191.14 |            76.91 |     228.23 |            -16.25 |          228.23 |       -16.25 | False         | False    |
| T        | AT&T Inc.                       |   24.36 |           185.81 |      29.13 |            -16.36 |           29.13 |       -16.36 | False         | False    |
| RMD      | ResMed Inc.                     |  244.76 |            37.70 |     293.11 |            -16.50 |          293.11 |       -16.50 | False         | False    |
| MTCH     | Match Group, Inc.               |   32.35 |             7.50 |      38.76 |            -16.53 |          176.78 |       -81.70 | False         | False    |
| ABNB     | Airbnb, Inc.                    |  136.82 |            79.20 |     163.93 |            -16.54 |          219.94 |       -37.79 | False         | False    |
| META     | Meta Platforms, Inc.            |  663.29 |          1812.43 |     795.06 |            -16.57 |          795.06 |       -16.57 | False         | False    |
| INTU     | Intuit Inc.                     |  675.31 |           138.90 |     810.72 |            -16.70 |          810.72 |       -16.70 | False         | False    |
| LYV      | Live Nation Entertainment, Inc. |  145.81 |            33.77 |     175.25 |            -16.80 |          175.25 |       -16.80 | False         | False    |
| FANG     | Diamondback Energy, Inc.        |  146.31 |            47.46 |     175.92 |            -16.83 |          205.08 |       -28.66 | False         | False    |
| OTIS     | Otis Worldwide Corporation      |   87.62 |            33.53 |     105.37 |            -16.84 |          105.37 |       -16.84 | False         | False    |
| NWSA     | News Corporation                |   26.22 |            15.74 |      31.61 |            -17.05 |           31.61 |       -17.05 | False         | False    |
| RSG      | Republic Services, Inc.         |  212.74 |            67.15 |     256.67 |            -17.11 |          256.67 |       -17.11 | False         | False    |
| HUM      | Humana Inc.                     |  258.83 |            23.48 |     313.18 |            -17.35 |          552.08 |       -53.12 | False         | False    |
| TT       | Trane Technologies plc          |  392.59 |            93.59 |     475.11 |            -17.37 |          475.11 |       -17.37 | False         | False    |
| FAST     | Fastenal Company                |   41.33 |            49.78 |      50.09 |            -17.49 |           50.09 |       -17.49 | False         | False    |
| HD       | Home Depot, Inc. (The)          |  349.78 |           372.91 |     424.01 |            -17.51 |          426.44 |       -17.98 | False         | False    |
| BX       | Blackstone Inc.                 |  155.41 |           180.04 |     188.42 |            -17.52 |          194.94 |       -20.28 | False         | False    |
| COO      | The Cooper Companies, Inc.      |   82.62 |            16.18 |     100.24 |            -17.58 |          115.86 |       -28.69 | False         | False    |
| INTC     | Intel Corporation               |   36.20 |           232.13 |      44.02 |            -17.76 |           62.29 |       -41.89 | False         | False    |
| PG       | Procter & Gamble Company (The)  |  143.72 |           354.65 |     175.18 |            -17.96 |          175.18 |       -17.96 | False         | False    |
| MAA      | Mid-America Apartment Communiti |  136.25 |            16.12 |     166.19 |            -18.01 |          197.60 |       -31.05 | False         | False    |
| DASH     | DoorDash, Inc.                  |  233.95 |            88.19 |     285.50 |            -18.06 |          285.50 |       -18.06 | False         | False    |
| FIS      | Fidelity National Information S |   67.19 |            28.86 |      82.10 |            -18.16 |          140.20 |       -52.08 | False         | False    |
| AVB      | AvalonBay Communities, Inc.     |  181.48 |            25.30 |     222.20 |            -18.33 |          229.18 |       -20.81 | False         | False    |
| MKC      | McCormick & Company, Incorporat |   68.45 |            16.60 |      84.04 |            -18.55 |           98.35 |       -30.40 | False         | False    |
| PODD     | Insulet Corporation             |  288.63 |            18.01 |     354.88 |            -18.67 |          354.88 |       -18.67 | False         | False    |
| COST     | Costco Wholesale Corporation    |  872.16 |           417.43 |    1072.35 |            -18.67 |         1072.35 |       -18.67 | False         | False    |
| MPC      | Marathon Petroleum Corporation  |  163.69 |            53.57 |     201.29 |            -18.68 |          213.02 |       -23.16 | False         | False    |
| URI      | United Rentals, Inc.            |  827.94 |            49.76 |    1019.33 |            -18.78 |         1019.33 |       -18.78 | False         | False    |
| UDR      | UDR, Inc.                       |   36.08 |            13.99 |      44.43 |            -18.79 |           51.50 |       -29.93 | False         | False    |
| TXN      | Texas Instruments Incorporated  |  175.73 |           195.85 |     216.74 |            -18.92 |          216.74 |       -18.92 | False         | False    |
| CL       | Colgate-Palmolive Company       |   79.24 |            72.97 |      97.77 |            -18.95 |          105.54 |       -24.92 | False         | False    |
| TSCO     | Tractor Supply Company          |   51.39 |            26.89 |      63.47 |            -19.04 |           63.47 |       -19.04 | False         | False    |
| EQIX     | Equinix, Inc.                   |  763.30 |            80.60 |     943.10 |            -19.06 |          971.74 |       -21.45 | False         | False    |
| ETN      | Eaton Corporation, PLC          |  322.17 |           136.81 |     398.40 |            -19.13 |          398.40 |       -19.13 | False         | False    |
| ON       | ON Semiconductor Corporation    |   54.93 |            24.49 |      67.95 |            -19.16 |          111.35 |       -50.67 | False         | False    |
| AMCR     | Amcor plc                       |   41.60 |            20.43 |      51.52 |            -19.26 |           58.78 |       -29.23 | False         | False    |
| IEX      | IDEX Corporation                |  179.66 |            14.95 |     222.57 |            -19.28 |          239.44 |       -24.97 | False         | False    |
| EME      | EMCOR Group, Inc.               |  626.72 |            32.26 |     778.18 |            -19.46 |          778.18 |       -19.46 | False         | False    |
| J        | Jacobs Solutions Inc.           |  135.28 |            16.06 |     168.03 |            -19.49 |          168.03 |       -19.49 | False         | False    |
| AMD      | Advanced Micro Devices, Inc.    |  214.99 |           385.41 |     267.08 |            -19.50 |          267.08 |       -19.50 | False         | False    |
| PTC      | PTC Inc.                        |  176.59 |            18.65 |     219.69 |            -19.62 |          219.69 |       -19.62 | False         | False    |
| MAS      | Masco Corporation               |   64.74 |            13.84 |      80.67 |            -19.75 |           84.80 |       -23.66 | False         | False    |
| CI       | The Cigna Group                 |  276.51 |            73.22 |     344.64 |            -19.77 |          361.84 |       -23.58 | False         | False    |
| BBY      | Best Buy Co., Inc.              |   69.61 |            13.68 |      87.00 |            -19.99 |          116.84 |       -40.42 | False         | False    |
| Q        | Qnity Electronics, Inc.         |   84.21 |            20.15 |     105.32 |            -20.04 |          105.32 |       -20.04 | False         | False    |
| ANET     | Arista Networks, Inc.           |  131.84 |           178.49 |     164.94 |            -20.07 |          164.94 |       -20.07 | False         | False    |
| VRSN     | VeriSign, Inc.                  |  246.32 |            22.81 |     308.75 |            -20.22 |          308.75 |       -20.22 | False         | False    |
| SBAC     | SBA Communications Corporation  |  192.60 |            19.62 |     241.44 |            -20.23 |          367.46 |       -47.59 | False         | False    |
| ADP      | Automatic Data Processing, Inc. |  258.84 |            99.83 |     324.50 |            -20.23 |          324.50 |       -20.23 | False         | False    |
| DOC      | Healthpeak Properties, Inc.     |   16.02 |            11.98 |      20.09 |            -20.27 |           29.36 |       -45.44 | False         | False    |
| ZBH      | Zimmer Biomet Holdings, Inc.    |   90.53 |            17.26 |     113.56 |            -20.28 |          168.35 |       -46.22 | False         | False    |
| UBER     | Uber Technologies, Inc.         |   81.26 |           166.94 |     101.99 |            -20.33 |          101.99 |       -20.33 | False         | False    |
| BDX      | Becton, Dickinson and Company   |  196.33 |            58.08 |     246.65 |            -20.40 |          274.48 |       -28.47 | False         | False    |
| DHI      | D.R. Horton, Inc.               |  146.32 |            43.33 |     183.98 |            -20.47 |          197.03 |       -25.74 | False         | False    |
| EFX      | Equifax, Inc.                   |  222.06 |            24.81 |     279.27 |            -20.49 |          306.72 |       -27.60 | False         | False    |
| CMCSA    | Comcast Corporation             |   27.48 |           117.25 |      34.56 |            -20.51 |           50.46 |       -45.55 | False         | False    |
| FICO     | Fair Isaac Corporation          | 1753.19 |            34.71 |    2217.60 |            -20.94 |         2402.52 |       -27.03 | False         | False    |
| INVH     | Invitation Homes Inc.           |   27.45 |            16.39 |      34.75 |            -21.00 |           40.02 |       -31.42 | False         | False    |
| KDP      | Keurig Dr Pepper Inc.           |   27.87 |            37.28 |      35.33 |            -21.11 |           37.59 |       -25.86 | False         | False    |
| WST      | West Pharmaceutical Services, I |  274.05 |            16.63 |     347.45 |            -21.13 |          469.81 |       -41.67 | False         | False    |
| GRMN     | Garmin Ltd.                     |  205.51 |            38.81 |     260.57 |            -21.13 |          260.57 |       -21.13 | False         | False    |
| AZO      | AutoZone, Inc.                  | 3448.70 |            61.61 |    4388.11 |            -21.41 |         4388.11 |       -21.41 | False         | False    |
| EPAM     | EPAM Systems, Inc.              |  211.41 |            11.62 |     269.00 |            -21.41 |          725.40 |       -70.86 | False         | False    |
| RCL      | Royal Caribbean Cruises Ltd.    |  285.67 |            88.54 |     364.14 |            -21.55 |          364.14 |       -21.55 | False         | False    |
| UPS      | United Parcel Service, Inc.     |  100.54 |            90.12 |     128.18 |            -21.56 |          194.22 |       -48.23 | False         | False    |
| IFF      | International Flavors & Fragran |   67.47 |            17.89 |      86.08 |            -21.62 |          138.89 |       -51.42 | False         | False    |
| CCI      | Crown Castle Inc.               |   88.28 |            37.80 |     113.13 |            -21.97 |          171.50 |       -48.52 | False         | False    |
| NCLH     | Norwegian Cruise Line Holdings  |   22.81 |            10.00 |      29.29 |            -22.12 |           64.27 |       -64.51 | False         | False    |
| HRL      | Hormel Foods Corporation        |   23.95 |            13.54 |      30.78 |            -22.17 |           48.46 |       -50.57 | False         | False    |
| WDAY     | Workday, Inc.                   |  220.70 |            46.89 |     283.68 |            -22.20 |          311.28 |       -29.10 | False         | False    |
| EIX      | Edison International            |   58.65 |            23.97 |      75.42 |            -22.24 |           82.53 |       -28.94 | False         | False    |
| PGR      | Progressive Corporation (The)   |  213.57 |           121.93 |     275.18 |            -22.39 |          275.18 |       -22.39 | False         | False    |
| PCG      | Pacific Gas & Electric Co.      |   15.72 |            33.89 |      20.27 |            -22.43 |           70.20 |       -77.60 | False         | False    |
| WY       | Weyerhaeuser Company            |   23.74 |            18.58 |      30.64 |            -22.53 |           37.68 |       -36.99 | False         | False    |
| ELV      | Elevance Health, Inc.           |  349.88 |            77.85 |     451.93 |            -22.58 |          552.56 |       -36.68 | False         | False    |
| MDLZ     | Mondelez International, Inc.    |   54.14 |            75.66 |      69.94 |            -22.59 |           72.90 |       -25.73 | False         | False    |
| CPAY     | Corpay, Inc.                    |  310.18 |            22.22 |     400.81 |            -22.61 |          400.81 |       -22.61 | False         | False    |
| EOG      | EOG Resources, Inc.             |  102.52 |            61.22 |     132.93 |            -22.88 |          132.93 |       -22.88 | False         | False    |
| MSI      | Motorola Solutions, Inc.        |  377.04 |            67.06 |     489.48 |            -22.97 |          501.17 |       -24.77 | False         | False    |
| KKR      | KKR & Co. Inc.                  |  130.41 |           105.80 |     169.44 |            -23.03 |          169.44 |       -23.03 | False         | False    |
| DELL     | Dell Technologies Inc.          |  128.68 |            76.70 |     167.35 |            -23.11 |          174.49 |       -26.26 | False         | False    |
| HOOD     | Robinhood Markets, Inc.         |  118.13 |            89.45 |     153.86 |            -23.22 |          153.86 |       -23.22 | False         | False    |
| ODFL     | Old Dominion Freight Line, Inc. |  159.49 |            36.40 |     208.11 |            -23.36 |          231.32 |       -31.05 | False         | False    |
| OXY      | Occidental Petroleum Corporatio |   39.85 |            44.72 |      52.05 |            -23.44 |           73.50 |       -45.79 | False         | False    |
| ROP      | Roper Technologies, Inc.        |  449.91 |            39.96 |     591.26 |            -23.91 |          591.26 |       -23.91 | False         | False    |
| MRSH     | Marsh                           |  186.06 |            92.20 |     244.59 |            -23.93 |          244.59 |       -23.93 | False         | False    |
| FFIV     | F5, Inc.                        |  263.14 |            16.01 |     346.00 |            -23.95 |          346.00 |       -23.95 | False         | False    |
| ADBE     | Adobe Inc.                      |  353.80 |           122.75 |     465.70 |            -24.03 |          699.54 |       -49.42 | False         | False    |
| AMT      | American Tower Corporation (REI |  174.71 |            83.95 |     230.04 |            -24.05 |          264.88 |       -34.04 | False         | False    |
| IRM      | Iron Mountain Incorporated (Del |   81.99 |            27.23 |     108.27 |            -24.28 |          124.90 |       -34.36 | False         | False    |
| KHC      | The Kraft Heinz Company         |   24.13 |            28.10 |      31.87 |            -24.30 |           64.84 |       -62.78 | False         | False    |
| NKE      | Nike, Inc.                      |   60.93 |            91.50 |      80.55 |            -24.36 |          167.74 |       -63.68 | False         | False    |
