S&P 500 High Tracker Snapshot
Data Date: 2025-12-26
Generated: 2026-01-31 08:58:40 UTC
Total stocks: 503
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |
| MCO      | Moody's Corporation             |  520.04 |            92.47 |     527.90 |             -1.49 |          527.90 |        -1.49 | True          | True     |
| RTX      | RTX Corporation                 |  185.17 |           269.40 |     188.00 |             -1.51 |          188.00 |        -1.51 | True          | True     |
| BK       | The Bank of New York Mellon Cor |  116.95 |            83.63 |     118.87 |             -1.62 |          118.87 |        -1.62 | True          | True     |
| STLD     | Steel Dynamics, Inc.            |  174.95 |            26.43 |     177.84 |             -1.63 |          177.84 |        -1.63 | True          | True     |
| AXP      | American Express Company        |  380.21 |           242.59 |     386.63 |             -1.66 |          386.63 |        -1.66 | True          | True     |
| EXPE     | Expedia Group, Inc.             |  287.56 |            32.76 |     292.42 |             -1.66 |          292.42 |        -1.66 | True          | True     |
| EXPD     | Expeditors International of Was |  152.24 |            21.79 |     155.04 |             -1.81 |          155.04 |        -1.81 | True          | True     |
| IVZ      | Invesco Ltd                     |   26.96 |            12.15 |      27.48 |             -1.89 |           27.48 |        -1.89 | True          | True     |
| CHRW     | C.H. Robinson Worldwide, Inc.   |  164.63 |            23.03 |     167.90 |             -1.95 |          167.90 |        -1.95 | True          | True     |
| UAL      | United Airlines Holdings, Inc.  |  114.04 |            33.12 |     116.32 |             -1.96 |          116.32 |        -1.96 | True          | True     |
| FDX      | FedEx Corporation               |  296.33 |            76.04 |     296.64 |             -0.10 |          303.59 |        -2.39 | True          | False    |
| MRK      | Merck & Company, Inc.           |  106.78 |           275.43 |     107.05 |             -0.25 |          127.87 |       -16.49 | True          | False    |
| KEY      | KeyCorp                         |   21.19 |            23.72 |      21.25 |             -0.28 |           22.12 |        -4.19 | True          | False    |
| CRL      | Charles River Laboratories Inte |  203.66 |            10.36 |     204.47 |             -0.40 |          460.21 |       -55.75 | True          | False    |
| DG       | Dollar General Corporation      |  137.25 |            31.57 |     137.87 |             -0.45 |          245.55 |       -44.10 | True          | False    |
| MTB      | M&T Bank Corporation            |  207.28 |            34.62 |     208.26 |             -0.47 |          217.71 |        -4.79 | True          | False    |
| TFC      | Truist Financial Corporation    |   50.61 |            65.78 |      50.86 |             -0.49 |           56.29 |       -10.09 | True          | False    |
| SNA      | Snap-On Incorporated            |  354.00 |            19.10 |     356.07 |             -0.58 |          363.98 |        -2.74 | True          | False    |
| AIG      | American International Group, I |   86.48 |            41.48 |      87.29 |             -0.93 |         1224.78 |       -92.94 | True          | False    |
| REGN     | Regeneron Pharmaceuticals, Inc. |  784.97 |            78.58 |     792.77 |             -0.98 |         1204.52 |       -34.83 | True          | False    |
| NUE      | Nucor Corporation               |  165.78 |            40.67 |     167.50 |             -1.02 |          197.39 |       -16.01 | True          | False    |
| TXT      | Textron Inc.                    |   90.22 |            15.69 |      91.22 |             -1.10 |           97.17 |        -7.16 | True          | False    |
| HOLX     | Hologic, Inc.                   |   74.50 |            16.73 |      75.34 |             -1.11 |           87.88 |       -15.23 | True          | False    |
| PCAR     | PACCAR Inc.                     |  111.79 |            64.58 |     113.11 |             -1.17 |          117.87 |        -5.16 | True          | False    |
| EW       | Edwards Lifesciences Corporatio |   86.85 |            47.77 |      87.89 |             -1.18 |          131.73 |       -34.07 | True          | False    |
| VTRS     | Viatris Inc.                    |   12.32 |            15.11 |      12.49 |             -1.36 |           62.69 |       -80.35 | True          | False    |
| ALB      | Albemarle Corporation           |  150.01 |            20.08 |     152.08 |             -1.36 |          319.45 |       -53.04 | True          | False    |
| HST      | Host Hotels & Resorts, Inc.     |   18.09 |            12.91 |      18.36 |             -1.50 |           19.15 |        -5.54 | True          | False    |
| PLD      | Prologis, Inc.                  |  128.71 |           121.27 |     130.68 |             -1.51 |          155.57 |       -17.27 | True          | False    |
| ACGL     | Arch Capital Group Ltd.         |   95.87 |            35.84 |      97.60 |             -1.77 |          110.75 |       -13.44 | True          | False    |
| C        | Citigroup, Inc.                 |  120.42 |           207.04 |     122.84 |             -1.97 |          382.43 |       -68.51 | True          | False    |
| ROL      | Rollins, Inc.                   |   60.60 |            30.48 |      61.84 |             -2.01 |           61.84 |        -2.01 | False         | False    |
| DAL      | Delta Air Lines, Inc.           |   70.85 |            43.02 |      72.34 |             -2.06 |           72.34 |        -2.06 | False         | False    |
| MU       | Micron Technology, Inc.         |  284.68 |           466.95 |     290.75 |             -2.09 |          290.75 |        -2.09 | False         | False    |
| PH       | Parker-Hannifin Corporation     |  888.08 |           118.12 |     908.35 |             -2.23 |          908.35 |        -2.23 | False         | False    |
| L        | Loews Corporation               |  106.40 |            21.90 |     109.06 |             -2.44 |          109.06 |        -2.44 | False         | False    |
| CSX      | CSX Corporation                 |   36.62 |            70.40 |      37.54 |             -2.45 |           38.95 |        -5.99 | False         | False    |
| EL       | Estee Lauder Companies, Inc. (T |  107.65 |            41.54 |     110.37 |             -2.46 |          350.69 |       -69.30 | False         | False    |
| GILD     | Gilead Sciences, Inc.           |  124.70 |           176.13 |     127.86 |             -2.47 |          127.86 |        -2.47 | False         | False    |
| CINF     | Cincinnati Financial Corporatio |  164.79 |            25.16 |     168.98 |             -2.48 |          168.98 |        -2.48 | False         | False    |
| HII      | Huntington Ingalls Industries,  |  351.13 |            16.50 |     360.20 |             -2.52 |          360.20 |        -2.52 | False         | False    |
| ROST     | Ross Stores, Inc.               |  181.14 |            61.35 |     185.85 |             -2.53 |          185.85 |        -2.53 | False         | False    |
| CBOE     | Cboe Global Markets, Inc.       |  256.15 |            27.74 |     262.98 |             -2.60 |          262.98 |        -2.60 | False         | False    |
| ADI      | Analog Devices, Inc.            |  276.84 |           152.22 |     284.23 |             -2.60 |          284.23 |        -2.60 | False         | False    |
| NDSN     | Nordson Corporation             |  243.99 |            15.33 |     250.60 |             -2.64 |          272.80 |       -10.56 | False         | False    |
| VTR      | Ventas, Inc.                    |   79.14 |            36.48 |      81.39 |             -2.77 |           81.39 |        -2.77 | False         | False    |
| MLM      | Martin Marietta Materials, Inc. |  645.01 |            39.32 |     664.29 |             -2.90 |          664.29 |        -2.90 | False         | False    |
| PFG      | Principal Financial Group Inc   |   89.38 |            21.10 |      92.10 |             -2.95 |           92.10 |        -2.95 | False         | False    |
| TER      | Teradyne, Inc.                  |  198.90 |            38.34 |     205.00 |             -2.98 |          205.00 |        -2.98 | False         | False    |
| JBHT     | J.B. Hunt Transport Services, I |  198.28 |            19.30 |     204.43 |             -3.01 |          215.39 |        -7.94 | False         | False    |
| HAS      | Hasbro, Inc.                    |   82.56 |            12.53 |      85.15 |             -3.04 |           99.25 |       -16.82 | False         | False    |
| LLY      | Eli Lilly and Company           | 1077.75 |           929.76 |    1111.99 |             -3.08 |         1111.99 |        -3.08 | False         | False    |
| CAH      | Cardinal Health, Inc.           |  207.77 |            51.05 |     214.40 |             -3.09 |          214.40 |        -3.09 | False         | False    |
| IQV      | IQVIA Holdings, Inc.            |  226.92 |            39.19 |     234.30 |             -3.15 |          285.61 |       -20.55 | False         | False    |
| NSC      | Norfolk Southern Corporation    |  290.96 |            65.36 |     300.79 |             -3.27 |          300.79 |        -3.27 | False         | False    |
| LHX      | L3Harris Technologies, Inc.     |  296.77 |            64.15 |     306.84 |             -3.28 |          306.84 |        -3.28 | False         | False    |
| TTWO     | Take-Two Interactive Software,  |  256.09 |            40.71 |     264.79 |             -3.29 |          264.79 |        -3.29 | False         | False    |
